time,start,end,count,diff
28447.731486,2067845372,2067846450,15741,1078
28447.743510,2067854198,2067855312,15897,1114
28447.764541,2067869674,2067870786,15594,1112
28447.776575,2067878526,2067879639,15936,1113
28447.788597,2067887393,2067888510,15910,1117
28447.800610,2067896293,2067897397,15596,1104
28447.815647,2067907390,2067908501,15968,1111
28447.827661,2067916222,2067917334,15601,1112
28447.839694,2067925104,2067926217,15948,1113
28447.851716,2067933968,2067935082,15971,1114
28447.872747,2067949450,2067950557,15598,1107
28447.884781,2067958311,2067959423,15936,1112
28447.911832,2067978280,2067979388,15940,1108
28447.923853,2067987138,2067988252,15973,1114
28447.935875,2067995967,2067997081,15647,1114
28447.947898,2068004824,2068005908,15724,1084
28447.959922,2068013653,2068014767,15972,1114
28447.971935,2068022459,2068023570,15599,1111
28447.989973,2068035759,2068036873,15820,1114
28448.002005,2068044630,2068045744,15941,1114
28448.041077,2068073441,2068074545,16074,1104
28448.053090,2068082324,2068083432,15601,1108
28448.098176,2068115547,2068116654,15603,1107
28448.110211,2068124439,2068125548,15954,1109
28448.122230,2068133299,2068134407,15976,1108
28448.134252,2068142121,2068143233,15681,1112
28448.200381,2068190808,2068191926,16021,1118
28448.212402,2068199682,2068200797,15979,1115
28448.227432,2068210716,2068211827,15938,1111
28448.239454,2068219592,2068220704,15975,1112
28448.251472,2068228514,2068229629,15843,1115
28448.263501,2068237385,2068238500,15940,1115
28448.275522,2068246262,2068247367,15969,1105
28448.287539,2068255127,2068256236,15828,1109
28448.299570,2068264006,2068265121,15945,1115
28448.311590,2068272866,2068273979,15944,1113
28448.323604,2068281685,2068282800,15601,1115
28448.335638,2068290553,2068291671,15904,1118
28448.347659,2068299418,2068300536,15940,1118
28448.359673,2068308259,2068309371,15602,1112
28448.371707,2068317098,2068318211,15935,1113
28448.419796,2068352581,2068353696,15972,1115
28448.431818,2068361483,2068362599,15684,1116
28448.443841,2068370353,2068371440,15744,1087
28448.455863,2068379198,2068380311,15954,1113
28448.467879,2068388037,2068389153,15616,1116
28448.479911,2068396910,2068398024,15943,1114
28448.497945,2068410231,2068411345,15913,1114
28448.509966,2068419082,2068420192,15956,1110
28448.528002,2068432376,2068433491,15976,1115
28448.540016,2068441216,2068442329,15623,1113
28448.552048,2068450089,2068451201,15943,1112
28448.564069,2068458976,2068460095,15952,1119
28448.630194,2068507798,2068508910,15737,1112
28448.642220,2068516687,2068517797,15942,1110
28448.657243,2068527744,2068528860,15713,1116
28448.669274,2068536623,2068537737,15955,1114
28448.732393,2068583233,2068584352,15910,1119
28448.744413,2068592122,2068593237,15942,1115
28448.789500,2068625436,2068626550,15984,1114
28448.801513,2068634287,2068635398,15603,1111
28448.832584,2068658684,2068659797,15974,1113
28448.864634,2068680834,2068681942,15603,1108
28448.876665,2068689682,2068690795,15939,1113
28448.888687,2068698598,2068699711,15943,1113
28448.900702,2068707470,2068708581,15615,1111
28448.936771,2068734106,2068735217,15616,1111
28448.948802,2068742973,2068744084,15936,1111
28448.960824,2068751846,2068752954,15955,1108
28448.984869,2068769604,2068770718,15908,1114
28448.996892,2068778456,2068779565,15955,1109
28449.017925,2068793935,2068795047,15616,1112
28449.029957,2068802809,2068803927,15905,1118
28449.041978,2068811702,2068812810,15956,1108
28449.053995,2068820570,2068821680,15617,1110
28449.066026,2068829453,2068830563,15938,1110
28449.129145,2068876070,2068877189,15903,1119
28449.141167,2068884984,2068886089,16011,1105
28449.207285,2068933829,2068934940,15613,1111
28449.219317,2068942706,2068943821,15936,1115
28449.231338,2068951586,2068952695,15870,1109
28449.243353,2068960448,2068961564,15611,1116
28449.255386,2068969331,2068970445,15938,1114
28449.276425,2068984859,2068985974,15911,1115
28449.291456,2068995982,2068997097,15942,1115
28449.303476,2069004881,2069005993,16051,1112
