time,start,end,count,diff
29172.339008,2615735799,2615736408,9231,609
29172.351026,2615739850,2615740456,11847,606
29172.363054,2615743960,2615744569,12034,609
29172.375078,2615748130,2615748729,12084,599
29172.387095,2615752201,2615752805,12016,604
29172.399122,2615756253,2615756852,12064,599
29172.411145,2615760368,2615760972,12051,604
29172.423164,2615764415,2615765012,11845,597
29172.435190,2615768432,2615769016,11927,584
29172.447215,2615772440,2615773043,12083,603
29172.459231,2615776268,2615776875,8888,607
29172.471260,2615780142,2615780751,8975,609
29172.483282,2615784048,2615784648,9254,600
29172.495300,2615787998,2615788600,11845,602
29172.507330,2615792001,2615792610,12085,609
29172.517839,2615795536,2615796138,8795,602
29172.582470,2615815701,2615816297,12105,596
29172.614035,2615825571,2615826180,9220,609
29172.626044,2615829456,2615830057,8826,601
29172.638079,2615833287,2615833870,8912,583
29172.650098,2615837072,2615837678,9191,606
29172.662119,2615840981,2615841585,8994,604
29172.674145,2615844954,2615845537,11888,583
29172.686170,2615848924,2615849522,12100,598
29172.698181,2615852802,2615853398,8860,596
29172.710217,2615856694,2615857297,8949,603
29172.722239,2615860604,2615861202,9259,598
29172.734249,2615864465,2615865062,8848,597
29172.746284,2615868314,2615868897,8817,583
29172.758306,2615872207,2615872811,9070,604
29172.770324,2615876088,2615876692,9001,604
29172.782353,2615879953,2615880535,8874,582
29172.794375,2615883792,2615884396,9249,604
29172.806397,2615887665,2615888261,8939,596
29172.818422,2615891680,2615892284,12059,604
29172.828934,2615895112,2615895716,11971,604
29172.845471,2615900491,2615901069,11913,578
29172.860503,2615905354,2615905963,12049,609
29172.874029,2615909772,2615910386,8884,614
29172.886051,2615913742,2615914351,12053,609
29172.898074,2615917681,2615918285,8959,604
29172.910097,2615921630,2615922238,8949,608
29172.922119,2615925727,2615926336,8914,609
29172.934142,2615929590,2615930199,9214,609
29172.946154,2615933481,2615934083,8871,602
29172.958189,2615937321,2615937925,8929,604
29172.970211,2615941189,2615941797,9196,608
29172.982226,2615945213,2615945831,11992,618
29172.998766,2615950472,2615951049,8932,577
29173.010787,2615954358,2615954962,9215,604
29173.022798,2615958197,2615958793,8872,596
29173.034834,2615962063,2615962677,8944,614
29173.045346,2615965624,2615966228,11964,604
29173.078414,2615976100,2615976702,12073,602
29173.090426,2615979950,2615980546,8858,596
29173.102461,2615983924,2615984528,12063,604
29173.114484,2615987825,2615988429,9237,604
29173.126497,2615991720,2615992316,8865,596
29173.138532,2615995585,2615996169,8888,584
29173.150554,2615999457,2616000061,9280,604
29173.162564,2616003333,2616003935,8887,602
29173.174595,2616007329,2616007912,11947,583
29173.186621,2616011187,2616011791,9195,604
29173.198632,2616015030,2616015620,8896,590
29173.210670,2616018903,2616019486,8895,583
29173.222687,2616022742,2616023350,9240,608
29173.234701,2616026602,2616027204,8842,602
29173.246736,2616030464,2616031046,8880,582
29173.258757,2616034332,2616034936,9265,604
29173.270770,2616038176,2616038772,8860,596
29173.282804,2616042008,2616042585,8878,577
29173.294826,2616045874,2616046478,9266,604
29173.306847,2616049883,2616050487,12000,604
29173.317369,2616053398,2616054002,12093,604
29173.333890,2616058715,2616059312,8851,597
29173.415045,2616083895,2616084491,11824,596
29173.427078,2616088015,2616088624,12082,609
29173.439103,2616092160,2616092762,12084,602
29173.451121,2616096144,2616096741,11877,597
29173.463146,2616100229,2616100812,11935,583
29173.475169,2616104153,2616104761,9163,608
29173.487179,2616107986,2616108577,8933,591
29173.499215,2616111974,2616112585,12063,611
29173.511235,2616116025,2616116624,12065,599
29173.523255,2616119958,2616120554,11843,596
29173.535283,2616124190,2616124788,12055,598
29173.547304,2616128213,2616128812,12066,599
29173.559325,2616132181,2616132787,11829,606
29173.571354,2616136162,2616136766,12083,604
29173.581861,2616139549,2616140149,8804,600
29173.593895,2616143422,2616144005,8951,583
29173.605925,2616147281,2616147734,7466,453
29173.617932,2616150992,2616151593,11804,601
29173.629967,2616154843,2616155426,8935,583
29173.641989,2616158706,2616159315,9231,609
29173.654007,2616162583,2616163192,8974,609
29173.666035,2616166427,2616167003,8906,576
29173.678058,2616170272,2616170870,9237,598
29173.690069,2616174210,2616174811,11834,601
29173.702102,2616178192,2616178801,12033,609
29173.714126,2616182049,2616182653,9241,604
29173.726136,2616185885,2616186487,8775,602
29173.738172,2616189893,2616190476,8906,583
29173.750193,2616193700,2616194299,9043,599
29173.762205,2616197564,2616198166,8857,602
29173.774239,2616201424,2616202007,8912,583
29173.786262,2616205256,2616205860,9249,604
29173.798284,2616209152,2616209753,8938,601
29173.810309,2616213021,2616213603,8895,582
29173.822329,2616216979,2616217581,12077,602
29173.834342,2616220828,2616221424,8865,596
29173.846376,2616224647,2616225225,8917,578
29173.858400,2616228494,2616229096,9266,602
29173.870410,2616232329,2616232930,8894,601
29173.935043,2616252420,2616253032,12108,612
29173.947065,2616256502,2616257098,11891,596
29173.959091,2616260606,2616261215,12064,609
29173.971113,2616264727,2616265330,12082,603
29173.983129,2616268678,2616269287,8966,609
29174.022211,2616281152,2616281729,11944,577
